doc_id,local_pdf_path,include,language,domain,source_id,template_cluster_id,title,publisher,source_url,license_name,license_url,license_status,redistribution_allowed,duplicate_of,split,page_scope,review_status,notes
01_tri_tue_nhan_tao_bieu_dien_tim_kiem,data/raw/_pdfs/vn/01_tri_tue_nhan_tao_bieu_dien_tim_kiem.pdf,true,vi,education,dai_hoc_cong_nghiep_vinh,dhcn_vinh_giao_trinh_cntt,Tri tue nhan tao - bieu dien va tim kiem,Truong Dai hoc Cong nghiep Vinh,,,,unverified,false,,train,first_10,needs_source_review,Source URL and redistribution permission missing
02_otomat_va_ngon_ngu_hinh_thuc,data/raw/_pdfs/vn/02_otomat_va_ngon_ngu_hinh_thuc.pdf,true,vi,education,dai_hoc_cong_nghiep_vinh,dhcn_vinh_giao_trinh_cntt,Otomat va ngon ngu hinh thuc,Truong Dai hoc Cong nghiep Vinh,,,,unverified,false,,train,first_10,needs_source_review,Grouped with document 01 by institution and template
03_cau_truc_du_lieu_va_giai_thuat,data/raw/_pdfs/vn/03_cau_truc_du_lieu_va_giai_thuat.pdf,true,vi,education,dai_hoc_cong_nghiep_ha_noi,haui_giao_trinh_cntt,Cau truc du lieu va giai thuat,Truong Dai hoc Cong nghiep Ha Noi,,,,unverified,false,,dev,first_10,needs_source_review,Source URL and redistribution permission missing
04_co_so_du_lieu,data/raw/_pdfs/vn/04_co_so_du_lieu.pdf,true,vi,education,cao_dang_ky_thuat_cao_thang,cao_thang_giao_trinh_cntt,Giao trinh Co so du lieu,Truong Cao dang Ky thuat Cao Thang,,,,unverified,false,,train,first_10,needs_source_review,Author visible in PDF but rights not verified
05_mang_may_tinh,data/raw/_pdfs/vn/05_mang_may_tinh.pdf,true,vi,education,cao_dang_co_dien_ha_noi,cdcdhn_giao_trinh_cntt,Giao trinh Mang may tinh,Truong Cao dang Co dien Ha Noi,,,,unverified,false,,test,first_10,needs_source_review,Test inclusion blocked until license is verified
06_dien_toan_dam_may,data/raw/_pdfs/vn/06_dien_toan_dam_may.pdf,true,vi,education,unknown_06,doc_06,Dien toan dam may,Unknown,,,,unverified,false,,train,first_10,needs_source_review,Publisher and source URL missing
07_cam_nang_chuyen_doi_so,data/raw/_pdfs/vn/07_cam_nang_chuyen_doi_so.pdf,true,vi,education,unknown_07,doc_07,Cam nang chuyen doi so,Unknown,,,,unverified,false,,test,first_10,needs_source_review,Scanned pages; publisher and rights missing
08_he_dieu_hanh_unix_linux,data/raw/_pdfs/vn/08_he_dieu_hanh_unix_linux.pdf,true,vi,education,unknown_08,doc_08,He dieu hanh UNIX Linux,Unknown,,,,unverified,false,,test,first_10,needs_source_review,Scanned pages; publisher and rights missing
09_tang_cuong_dam_bao_an_toan_thong_tin_viet_nam,data/raw/_pdfs/vn/09_tang_cuong_dam_bao_an_toan_thong_tin_viet_nam.pdf,true,vi,education,unknown_09,doc_09,Tang cuong dam bao an toan thong tin tai Viet Nam,Unknown,,,,unverified,false,,dev,first_10,needs_source_review,Domain retained as education pending manual taxonomy review
10_nhap_mon_lap_trinh,data/raw/_pdfs/vn/10_nhap_mon_lap_trinh.pdf,true,vi,education,unknown_10,doc_10,De cuong chi tiet Nhap mon lap trinh,Unknown,,,,unverified,false,,train,first_10,needs_source_review,Source URL and redistribution permission missing
1206.5538v3,data/raw_pdfs/en/1206.5538v3.pdf,false,en,education,arxiv,arxiv_paper,Representation Learning - A Review and New Perspectives,arXiv,https://arxiv.org/abs/1206.5538,,,excluded_language,false,,,first_10,excluded,English document excluded from Vietnamese benchmark
1406.2661v1,data/raw_pdfs/en/1406.2661v1.pdf,false,en,education,arxiv,arxiv_paper,Generative Adversarial Nets,arXiv,https://arxiv.org/abs/1406.2661,,,excluded_language,false,,,first_10,excluded,English document excluded from Vietnamese benchmark
1409.1556v6,data/raw_pdfs/en/1409.1556v6.pdf,false,en,education,arxiv,arxiv_paper,Very Deep Convolutional Networks for Large-Scale Image Recognition,arXiv,https://arxiv.org/abs/1409.1556,,,excluded_language,false,,,first_10,excluded,English document excluded from Vietnamese benchmark
1409.1556v6 (1),data/raw_pdfs/en/1409.1556v6 (1).pdf,false,en,education,arxiv,arxiv_paper,Very Deep Convolutional Networks for Large-Scale Image Recognition duplicate,arXiv,https://arxiv.org/abs/1409.1556,,,duplicate,false,1409.1556v6,,first_10,excluded,Exact duplicate identified by SHA-256
1512.03385v1,data/raw_pdfs/en/1512.03385v1.pdf,false,en,education,arxiv,arxiv_paper,Deep Residual Learning for Image Recognition,arXiv,https://arxiv.org/abs/1512.03385,,,excluded_language,false,,,first_10,excluded,English document excluded from Vietnamese benchmark
1706.03762v7,data/raw_pdfs/en/1706.03762v7.pdf,false,en,education,arxiv,arxiv_paper,Attention Is All You Need,arXiv,https://arxiv.org/abs/1706.03762,,,excluded_language,false,,,first_10,excluded,English document excluded from Vietnamese benchmark
1810.04805v2,data/raw_pdfs/en/1810.04805v2.pdf,false,en,education,arxiv,arxiv_paper,BERT - Pre-training of Deep Bidirectional Transformers,arXiv,https://arxiv.org/abs/1810.04805,,,excluded_language,false,,,first_10,excluded,English document excluded from Vietnamese benchmark
tl4_2021,data/raw_pdfs/vn/tl4_2021.pdf,true,vi,legal,nasati_tong_luan,nasati_tong_luan_series,Nhung can nhac chinh sach thuc day phat trien tri tue nhan tao,Cuc Thong tin khoa hoc va cong nghe quoc gia,,,,unverified,false,,test,first_10,needs_source_review,Policy document; exact publication URL and redistribution terms missing
tl4_2021_1,data/raw_pdfs/vn/tl4_2021_1.pdf,true,vi,legal,nasati_tong_luan,nasati_tong_luan_series,Chuan bi cho tuong lai cua tri tue nhan tao,Cuc Thong tin khoa hoc va cong nghe quoc gia,,,,unverified,false,,test,first_10,needs_source_review,Same publisher and series as tl4_2021
tongluan9_2024,data/raw_pdfs/vn/tongluan9_2024.pdf,true,vi,healthcare,nasati_tong_luan,nasati_tong_luan_series,Tri tue nhan tao trong y te,Cuc Thong tin khoa hoc va cong nghe quoc gia,,,,unverified,false,,test,first_10,needs_source_review,Corrected from legal to healthcare based on title and content
worldbank_innovation_east_asia_overview_vi,data/raw_pdfs/cleared/financial/worldbank_innovation_east_asia_overview_vi.pdf,true,vi,financial,world_bank_okr,world_bank_eap_overview_2021,Thuc day doi moi sang tao o cac quoc gia dang phat trien Dong A,World Bank,https://openknowledge.worldbank.org/handle/10986/35139,CC BY 3.0 IGO,https://creativecommons.org/licenses/by/3.0/igo,verified,true,,test,full,reviewed,Official Vietnamese overview bitstream; SHA-256 verified locally
worldbank_bao_phu_bao_hiem_y_te_viet_nam_vi,data/raw_pdfs/cleared/healthcare/worldbank_bao_phu_bao_hiem_y_te_viet_nam_vi.pdf,true,vi,healthcare,world_bank_okr,world_bank_health_financing_book_2014,Tien toi bao phu Bao hiem y te toan dan o Viet Nam - Danh gia va Giai phap,World Bank,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/174471468322142660,CC BY 3.0 IGO,https://creativecommons.org/licenses/by/3.0/igo,verified,true,,test,full,reviewed,License text verified inside PDF; DOI 10.1596/978-1-4648-0261-4
