system,question_id,source,query,failure_class,hit_rate@10,citation_f1,answer_f1,gold_count,candidate_count,evidence_count
B_flat,397a1e851aab41c455c2b284f5e4947500d797f0,1911.10742.qasper,How big is the ANTISCAM dataset?,post_context_no_evidence,1.0,0.0,0.0,3,10,0
B_flat,2849c2944c47cf1de62b539c5d3c396a3e8d283a,1904.09131.qasper,What is the accuracy of this model compared to sota?,retrieval_miss_at_10,0.0,0.0,0.0,1,8,0
B_flat,1a6156189297b2fe17f174ef55cbd20341bb7dbf,1611.06322.qasper,What previous methods do they compare against?,post_context_no_evidence,1.0,0.0,0.0,2,10,0
B_flat,bc8526d4805e2554adb2e9c01736d3f3a3b19895,1604.02038.qasper,What baselines did they compare with?,post_context_no_evidence,1.0,0.0,0.0,6,12,0
B_flat,6e040e80f2da69d50386a90a38ed6d2fa4f77bbd,1911.04474.qasper,Which NER dataset do they use?,post_context_no_evidence,1.0,0.0,0.0,2,10,0
B_flat,756a8a9125e6984e0ca768b653c6c760efa3db66,1905.00840.qasper,What was their accuracy score?,post_context_no_evidence,1.0,0.0,0.0,2,8,0
B_flat,c97306c1be5d59cf27b1054adfa8f1da47d292ce,1810.02229.qasper,What are the contributions of this paper?,post_context_no_evidence,1.0,0.0,0.0,1,8,0
B_flat,a3e7d7389228a197c8c44e0c504a791b60f2c80d,1909.00091.qasper,How do they decide what is the semantic concept label of particular cluster?,post_context_no_evidence,1.0,0.0,0.0,2,8,0
B_flat,371433bd3fb5042bacec4dfad3cfff66147c14f0,1909.04387.qasper,How do data-driven models usually respond to abuse?,post_context_no_evidence,1.0,0.0,0.0,3,8,0
B_flat,c19e9fd2f1c969e023fb99b74e78eb1f3db8e162,2003.13016.qasper,Was the automatic annotation evaluated?,post_context_no_evidence,1.0,0.0,0.0,4,8,0
B_flat,230ff86b7b90b87c33c53014bb1e9c582dfc107f,1805.11937.qasper,What morphological typologies are considered?,post_context_no_evidence,1.0,0.0,0.0,3,8,0
B_flat,b8a3ab219be6c1e6893fe80e1fbf14f0c0c3c97c,1909.09070.qasper,What datasets are used in this paper?,post_context_no_evidence,1.0,0.0,0.0,2,8,0
B_flat,f54e19f7ecece1bb0ef3171403ae322ad572ff00,1708.05521.qasper,did they experiment with lexicons?,post_context_no_evidence,1.0,0.0,0.0,4,10,0
B_flat,ed44f7e698d6124cb86791841d02fc6f8b4d862a,1908.11049.qasper,What is their definition of hate speech?,post_context_no_evidence,1.0,0.0,0.0,3,8,0
B_flat,cbb3c1c1e6e1818b6480f929f1c299eaa5ffd07a,1907.10676.qasper,What are the opportunities presented by the use of Semantic Web technologies in Machine Translation?,post_context_no_evidence,1.0,0.0,0.0,9,8,0
B_flat,a77d38427639d54461ae308f3045434f81e497d0,1906.08871.qasper,what eeg features were used?,post_context_no_evidence,1.0,0.0,0.0,3,8,0
B_flat,5ed02ae6c534cd49d405489990f0e4ba0330ff1b,2004.04124.qasper,Does LadaBERT ever outperform its knowledge destilation teacher in terms of accuracy on some problems?,post_context_no_evidence,1.0,0.0,0.0,2,10,0
B_flat,f2bcfdbebb418e7da165c19b8c7167719432ee48,1603.07252.qasper,What domain of text are they working with?,retrieval_miss_at_10,0.0,0.0,0.0,4,8,0
B_flat,52faf319e37aa15fff1ab47f634a5a584dc42e75,1708.00549.qasper,What types of commonsense knowledge are they talking about?,post_context_no_evidence,1.0,0.0,0.0,5,8,0
B_flat,9c2cacf77041e02d38f92a4c490df1e04552f96f,1905.00472.qasper,Did they pre-train on existing sentiment corpora?,post_context_no_evidence,1.0,0.0,0.0,5,11,0
B_flat,20632fc4d2b693b5aabfbbc99ee5c1e9fc485dea,1912.02866.qasper,"What are the parts of the ""multimodal"" resources?",post_context_no_evidence,1.0,0.0,0.0,8,8,0
B_flat,7ff7c286d3118a8be5688e2d18e9a56fe83679ad,1812.00382.qasper,Which model architecture do they opt for?,post_context_no_evidence,1.0,0.0,0.0,2,8,0
B_flat,9b868c7d17852f46a8fe725f24cb9548fdbd2b05,1903.02930.qasper,what dataset was used for training?,post_context_no_evidence,1.0,0.0,0.0,2,8,0
B_flat,84765903b8c7234ca2919d0a40e3c6a5bcedf45d,1911.04873.qasper,Do any of the models use attention?,post_context_no_evidence,1.0,0.0,0.0,1,8,0
